source_paper,star_name,cluster_name,source_id,ra,dec,prot_days,age_gyr,age_err_lo_gyr,age_err_hi_gyr,parallax,parallax_error,bp_rp_0,ruwe,phot_g_mean_mag,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,mass_msun,mass_msun_err_lo,mass_msun_err_hi,tau_ce_days,rossby_number,tau_ce_err_days
Engle2023,GJ 1062,,5115463180914712448,54.572021668602574,-11.49906945105181,159.5,11.5,1.5,1.0,61.88605144828595,0.021998767,2.2686749,1.4495507,12.066338,03381558-1129102,8.831,0.021,0.0,0.0,8.831,7.789126959525197,0.1965728019879282,0.0047427878790953,0.004780391057165,210.1650618692232,0.7589272859218156,34.14412598913695
Engle2023,LHS 3382,,2269520028411874816,275.47022281263065,77.1619812397175,169.2,11.5,1.5,1.0,11.64912638936515,0.03943265,,1.0562376,16.21729,18215294+7709303,13.197,0.037,0.0017139199133258,8.789443979933136e-05,13.195286080086673,8.534835155873537,0.1389947273194582,0.0037887338502052,0.0038686964764584,214.59,0.7884803578917936,30.9
Engle2023,LHS 216,,3345752830365960320,93.5100580746327,15.159632016202606,174.4,11.5,1.5,1.0,23.745341687175145,0.01945614,,1.1294935,13.765578,06140146+1509570,10.661,0.019,0.0,0.0,10.661,7.542863561143578,0.2218289229385345,0.005287760606196,0.0052914778734456,204.72981470719813,0.8518544318980827,38.97987659647728
Engle2023,Kapteyn's Star (GJ 191),,4810594479418041856,77.9599373502188,-45.0438126993602,153.2,11.5,1.5,1.0,254.19859326384577,0.0168427433818578,2.02664566040039,1.170168399810791,8.063551902770996,05114046-4501051,5.049,0.021,0.0,0.0,5.049,7.0749179696673306,0.278744589403567,0.0067077732431939,0.006755663696079,230.24226220014896,0.6653860960887522,46.75597952726235
Engle2023,GJ 157.1,,67198925172337536,59.97722359716393,26.08875545690686,142.7,9.5,1.5,1.5,43.6472342258144,0.35264942,,12.874119,11.467834,03595354+2605240,7.821,0.02,0.0,0.0,7.821,6.023007055965431,0.4401355970484745,0.0106776810290373,0.0108431673993062,79.79160950913815,1.788408591803844,5.833305036894068
Engle2023,LHS 353,,3630015546177181952,202.5066423755024,-8.70917931639764,61.2,4.42,1.52,2.13,62.2806924078119,0.041980937,,1.5704417,12.70625,13300285-0842251,8.749,0.024,0.0,0.0,8.749,7.721905705285653,0.2031492305499251,0.0050317725866211,0.0050425234950712,208.40915544317,0.2936531260820176,35.43146188014785
Engle2023,GJ 581,,6322070093095493504,229.8563013332923,-7.722707024157902,148.1,9.5,1.5,1.5,158.71827296463243,0.030101538,2.5615683,1.3033525,9.421787,15192689-0743200,5.837,0.023,0.0,0.0,5.837,6.840706634549372,0.3113704764190562,0.0075676474881073,0.0076692253353976,224.9301069635792,0.6584267530890403,44.02877155346239
Engle2023,LP 498-25,,3738752852026813184,204.7877468854365,12.156739432061372,49.0,3.8,1.58,0.7,19.279788020346192,0.023063565,,1.2225158,13.015613,13390890+1209265,9.607,0.018,0.0,0.0,9.607,6.036304045304597,0.4379433997289901,0.0101096161339779,0.0102667375457533,80.16976354674921,0.6112030001364136,5.860707503387624
Engle2023,LP 856-54,,6177238671977087360,207.84714554547432,-27.56544382050014,23.27,2.52,0.61,1.58,26.680999777856275,0.01839942,,1.126384,11.630171,13512321-2733519,8.407,0.027,0.0,0.0,8.407,5.539444696834517,0.5191464905569899,0.0125956817686372,0.012696027316129,66.16223037891925,0.3517112386739359,4.8456688680376265
Engle2023,G59-39,,3930922058356114432,191.80432988339743,14.70456384640075,33.82,3.2,0.93,1.96,16.49849612789839,0.021312071,,1.2233597,12.7773905,12471348+1442137,9.7,0.017,0.0,0.0,9.7,5.790265872766092,0.4784906866446707,0.0110619459668046,0.0111983171076193,73.17535655379432,0.4621774541697994,5.353866416941616
